"Time","3458A"
2023-02-15 15:55:00,9.9706301 V
2023-02-15 15:56:00,9.9706298 V
2023-02-16 20:41:00,9.9706315 V
2023-02-16 20:42:00,9.9706316 V
2023-02-17 21:12:00,9.9706303 V
2023-02-17 21:13:00,9.9706305 V
2023-02-17 21:14:00,9.9706310 V
2023-02-17 21:15:00,9.9706311 V
2023-02-17 21:16:00,9.9706310 V
2023-02-17 21:17:00,9.9706309 V
2023-02-17 21:18:00,9.9706304 V
2023-02-17 21:19:00,9.9706308 V
2023-02-17 21:20:00,9.9706306 V
2023-02-17 21:21:00,9.9706303 V
2023-02-17 21:22:00,9.9706299 V
2023-02-17 21:23:00,9.9706299 V
2023-02-17 21:24:00,9.9706299 V
2023-02-17 21:25:00,9.9706306 V
2023-02-17 21:26:00,9.9706306 V
2023-02-17 21:27:00,9.9706306 V
2023-02-17 21:28:00,9.9706311 V
2023-02-17 21:29:00,9.9706311 V
2023-02-17 21:30:00,9.9706315 V
2023-02-17 21:31:00,9.9706314 V
2023-02-17 21:32:00,9.9706311 V
2023-02-17 21:33:00,9.9706313 V
2023-02-17 21:34:00,9.9706313 V
2023-02-17 21:35:00,9.9706309 V
2023-02-17 21:36:00,9.9706316 V
2023-02-17 21:37:00,9.9706314 V
2023-02-17 21:38:00,9.9706308 V
2023-02-17 21:39:00,9.9706303 V
2023-02-17 21:40:00,9.9706305 V
2023-02-17 21:41:00,9.9706304 V
2023-02-17 21:42:00,9.9706304 V
2023-02-17 21:43:00,9.9706303 V
2023-02-17 21:44:00,9.9706302 V
2023-02-17 21:45:00,9.9706301 V
2023-02-17 21:46:00,9.9706301 V
2023-02-17 21:47:00,9.9706303 V
2023-02-17 21:48:00,9.9706304 V
2023-02-17 21:49:00,9.9706306 V
2023-02-17 21:50:00,9.9706307 V
2023-02-17 21:51:00,9.9706305 V
2023-02-17 21:52:00,9.9706302 V
2023-02-17 21:53:00,9.9706306 V
2023-02-17 21:54:00,9.9706310 V
2023-02-17 21:55:00,9.9706313 V
2023-02-17 21:56:00,9.9706306 V
2023-02-17 21:57:00,9.9706302 V
2023-02-17 21:58:00,9.9706309 V
2023-02-17 21:59:00,9.9706312 V
2023-02-17 22:00:00,9.9706309 V
2023-02-17 22:01:00,9.9706308 V
2023-02-17 22:02:00,9.9706305 V
2023-02-17 22:03:00,9.9706308 V
2023-02-17 22:04:00,9.9706307 V
2023-02-17 22:05:00,9.9706300 V
2023-02-17 22:06:00,9.9706300 V
2023-02-17 22:07:00,9.9706298 V
2023-02-17 22:08:00,9.9706297 V
2023-02-17 22:09:00,9.9706297 V
2023-02-17 22:10:00,9.9706299 V
2023-02-17 22:11:00,9.9706298 V
2023-02-17 22:12:00,9.9706301 V
2023-02-17 22:13:00,9.9706302 V
2023-02-17 22:14:00,9.9706302 V
2023-02-17 22:15:00,9.9706304 V
2023-02-17 22:16:00,9.9706300 V
2023-02-17 22:17:00,9.9706298 V
2023-02-17 22:18:00,9.9706298 V
2023-02-17 22:19:00,9.9706298 V
2023-02-17 22:20:00,9.9706301 V
2023-02-17 22:21:00,9.9706302 V
2023-02-17 22:22:00,9.9706303 V
2023-02-17 22:23:00,9.9706302 V
2023-02-17 22:24:00,9.9706303 V
2023-02-17 22:25:00,9.9706302 V
2023-02-17 22:26:00,9.9706306 V
2023-02-17 22:27:00,9.9706304 V
2023-02-17 22:28:00,9.9706306 V
2023-02-17 22:29:00,9.9706304 V
2023-02-17 22:30:00,9.9706305 V
2023-02-17 22:31:00,9.9706305 V
2023-02-17 22:32:00,9.9706302 V
2023-02-17 22:33:00,9.9706309 V
2023-02-17 22:34:00,9.9706303 V
2023-02-17 22:35:00,9.9706307 V
2023-02-17 22:36:00,9.9706307 V
2023-02-17 22:37:00,9.9706306 V
2023-02-17 22:38:00,9.9706310 V
2023-02-17 22:39:00,9.9706307 V
2023-02-17 22:40:00,9.9706306 V
2023-02-17 22:41:00,9.9706303 V
2023-02-17 22:42:00,9.9706306 V
2023-02-17 22:43:00,9.9706303 V
2023-02-17 22:44:00,9.9706305 V
2023-02-17 22:45:00,9.9706307 V
2023-02-17 22:46:00,9.9706304 V
2023-02-17 22:47:00,9.9706306 V
2023-02-17 22:48:00,9.9706303 V
2023-02-17 22:49:00,9.9706299 V
2023-02-17 22:50:00,9.9706299 V
2023-02-17 22:51:00,9.9706302 V
2023-02-17 22:52:00,9.9706303 V
2023-02-17 22:53:00,9.9706301 V
2023-02-17 22:54:00,9.9706298 V
2023-02-17 22:55:00,9.9706301 V
2023-02-17 22:56:00,9.9706305 V
2023-02-17 22:57:00,9.9706305 V
2023-02-17 22:58:00,9.9706305 V
2023-02-17 22:59:00,9.9706307 V
2023-02-17 23:00:00,9.9706311 V
2023-02-17 23:01:00,9.9706311 V
2023-02-17 23:02:00,9.9706308 V
2023-02-17 23:03:00,9.9706311 V
2023-02-17 23:04:00,9.9706308 V
2023-02-17 23:05:00,9.9706308 V
2023-02-17 23:06:00,9.9706310 V
2023-02-17 23:07:00,9.9706310 V
2023-02-17 23:08:00,9.9706306 V
2023-02-17 23:09:00,9.9706300 V
2023-02-17 23:10:00,9.9706306 V
2023-02-17 23:11:00,9.9706305 V
2023-02-17 23:12:00,9.9706304 V
2023-02-17 23:13:00,9.9706304 V
2023-02-17 23:14:00,9.9706307 V
2023-02-17 23:15:00,9.9706305 V
2023-02-17 23:16:00,9.9706306 V
2023-02-17 23:17:00,9.9706310 V
2023-02-17 23:18:00,9.9706310 V
2023-02-17 23:19:00,9.9706311 V
2023-02-17 23:20:00,9.9706314 V
2023-02-17 23:21:00,9.9706315 V
2023-02-17 23:22:00,9.9706314 V
2023-02-17 23:23:00,9.9706314 V
2023-02-17 23:24:00,9.9706321 V
2023-02-17 23:25:00,9.9706319 V
2023-02-17 23:26:00,9.9706317 V
2023-02-17 23:27:00,9.9706315 V
2023-02-17 23:28:00,9.9706315 V
2023-02-17 23:29:00,9.9706316 V
2023-02-17 23:30:00,9.9706314 V
2023-02-17 23:31:00,9.9706310 V
2023-02-17 23:32:00,9.9706311 V
2023-02-17 23:33:00,9.9706313 V
2023-02-17 23:34:00,9.9706313 V
2023-02-17 23:35:00,9.9706314 V
2023-02-17 23:36:00,9.9706316 V
2023-02-17 23:37:00,9.9706319 V
2023-02-17 23:38:00,9.9706313 V
2023-02-17 23:39:00,9.9706311 V
2023-02-17 23:40:00,9.9706311 V
2023-02-17 23:41:00,9.9706311 V
2023-02-17 23:42:00,9.9706308 V
2023-02-17 23:43:00,9.9706309 V
2023-02-17 23:44:00,9.9706309 V
2023-02-17 23:45:00,9.9706310 V
2023-02-17 23:46:00,9.9706311 V
2023-02-17 23:47:00,9.9706313 V
2023-02-17 23:48:00,9.9706312 V
2023-02-17 23:49:00,9.9706312 V
2023-02-17 23:50:00,9.9706313 V
2023-02-17 23:51:00,9.9706317 V
2023-02-17 23:52:00,9.9706315 V
2023-02-17 23:53:00,9.9706314 V
2023-02-17 23:54:00,9.9706313 V
2023-02-17 23:55:00,9.9706315 V
2023-02-17 23:56:00,9.9706310 V
2023-02-17 23:57:00,9.9706313 V
2023-02-17 23:58:00,9.9706313 V
2023-02-17 23:59:00,9.9706312 V
2023-02-18 00:00:00,9.9706318 V
2023-02-18 00:01:00,9.9706320 V
2023-02-18 00:02:00,9.9706317 V
2023-02-18 00:03:00,9.9706315 V
2023-02-18 00:04:00,9.9706313 V
2023-02-18 00:05:00,9.9706311 V
2023-02-18 00:06:00,9.9706314 V
2023-02-18 00:07:00,9.9706314 V
2023-02-18 00:08:00,9.9706314 V
2023-02-18 00:09:00,9.9706312 V
2023-02-18 00:10:00,9.9706311 V
2023-02-18 00:11:00,9.9706313 V
2023-02-18 00:12:00,9.9706314 V
2023-02-18 00:13:00,9.9706313 V
2023-02-18 00:14:00,9.9706308 V
2023-02-18 00:15:00,9.9706310 V
2023-02-18 00:16:00,9.9706315 V
2023-02-18 00:17:00,9.9706316 V
2023-02-18 00:18:00,9.9706312 V
2023-02-18 00:19:00,9.9706308 V
2023-02-18 00:20:00,9.9706310 V
2023-02-18 00:21:00,9.9706310 V
2023-02-18 00:22:00,9.9706316 V
2023-02-18 00:23:00,9.9706313 V
2023-02-18 00:24:00,9.9706309 V
2023-02-18 00:25:00,9.9706307 V
2023-02-18 00:26:00,9.9706306 V
2023-02-18 00:27:00,9.9706302 V
2023-02-18 00:28:00,9.9706301 V
2023-02-18 00:29:00,9.9706304 V
2023-02-18 00:30:00,9.9706306 V
2023-02-18 00:31:00,9.9706308 V
2023-02-18 00:32:00,9.9706311 V
2023-02-18 00:33:00,9.9706310 V
2023-02-18 00:34:00,9.9706305 V
2023-02-18 00:35:00,9.9706306 V
2023-02-18 00:36:00,9.9706311 V
2023-02-18 00:37:00,9.9706311 V
2023-02-18 00:38:00,9.9706313 V
2023-02-18 00:39:00,9.9706315 V
2023-02-18 00:40:00,9.9706314 V
2023-02-18 00:41:00,9.9706313 V
2023-02-18 00:42:00,9.9706317 V
2023-02-18 00:43:00,9.9706316 V
2023-02-18 00:44:00,9.9706318 V
2023-02-18 00:45:00,9.9706315 V
2023-02-18 00:46:00,9.9706317 V
2023-02-18 00:47:00,9.9706316 V
2023-02-18 00:48:00,9.9706313 V
2023-02-18 00:49:00,9.9706312 V
2023-02-18 00:50:00,9.9706313 V
2023-02-18 00:51:00,9.9706307 V
2023-02-18 00:52:00,9.9706307 V
2023-02-18 00:53:00,9.9706308 V
2023-02-18 00:54:00,9.9706310 V
2023-02-18 00:55:00,9.9706313 V
2023-02-18 00:56:00,9.9706310 V
2023-02-18 00:57:00,9.9706309 V
2023-02-18 00:58:00,9.9706311 V
2023-02-18 00:59:00,9.9706312 V
2023-02-18 01:00:00,9.9706306 V
2023-02-18 01:01:00,9.9706307 V
2023-02-18 01:02:00,9.9706305 V
2023-02-18 01:03:00,9.9706308 V
2023-02-18 01:04:00,9.9706304 V
2023-02-18 01:05:00,9.9706306 V
2023-02-18 01:06:00,9.9706308 V
2023-02-18 01:07:00,9.9706308 V
2023-02-18 01:08:00,9.9706305 V
2023-02-18 01:09:00,9.9706309 V
2023-02-18 01:10:00,9.9706311 V
2023-02-18 01:11:00,9.9706313 V
2023-02-18 01:12:00,9.9706315 V
2023-02-18 01:13:00,9.9706313 V
